	Adult obesity Value	Median household income Value
Shoshone County,ID	-0.018051612465508907	-0.8905903259742276
Owyhee County,ID	0.24459231581187063	-0.7386901138559738
Payette County,ID	0.28836630385809936	-0.1749573434749741
Yuba County,CA	-1.1124013136212558	-0.504966746972285
Ventura County,CA	-2.2724119968463476	2.1769789234838273
Yolo County,CA	-2.359959972938808	0.5422737475157918
Macon County,AL	2.498952700192709	-1.5345481426291498
Frederick County,VA	0.3321402919043305	1.419315687657798
Miami County,OH	0.11327035167318086	0.33124352121157913
Pottawattamie County,IA	1.4046029990369624	0.33755604975305314
Meigs County,OH	0.7917671663897446	-0.770412567412495
Poweshiek County,IA	-0.10559958855796875	0.40499622809487645
Mercer County,OH	-0.4995654809740381	0.39021372454838676
Fauquier County,VA	-1.1999492897137156	3.30676172155852
Marion County,OH	0.6385582082279387	-0.438085906602491
Polk County,IA	-0.39013051085846323	1.0631772103242592
Medina County,OH	-0.45579149292780813	1.6526395274186085
Tulsa County,OK	-0.17126057062731365	0.2224922383641602
Avoyelles Parish,LA	1.7110209153605707	-1.094748685764937
Talladega County,AL	1.4483769870831924	-0.6171539630764556
Acadia Parish,LA	0.2008183277656407	-0.5955794984410382
Allen Parish,LA	0.7917671663897446	-0.8686163342159321
Ascension Parish,LA	0.28836630385809936	1.5642641278379728
Tallapoosa County,AL	1.2076200528289278	-0.8744494302099524
Assumption Parish,LA	0.5072362440892489	-0.11231149060768796
Kern County,CA	-0.543339469020268	-0.02169873913893478
Glenn County,CA	-0.5871134570664966	-0.3170291883704266
Tuscaloosa County,AL	0.3759142799505604	-0.0663658714767064
Humboldt County,CA	-1.4188192299448652	-0.5706490059734448
Imperial County,CA	-1.3093842598292904	-0.7179946088908882
Inyo County,CA	-1.7690111343147046	0.12340951189039129
Yellow Medicine County,MN	-0.5871134570664966	0.2641229645680583
Wright County,MN	-0.565226463043383	2.298594979687921
Henderson County,KY	0.2008183277656407	-0.374161566941995
Henry County,KY	0.11327035167318086	-0.31351334968909933
Hopkins County,KY	0.8136541604128597	-0.4191483209780691
Jackson County,KY	2.236308771915331	-1.4888422397718952
Humboldt County,NV	-1.3750452418986352	1.5741724004853495
Winchester city,VA	-0.981079349482566	-0.2545431463522917
